Technologies,Fuel,Legacy capacity,Maximum capacity,Rated efficiency,Fuel costs,Fuel CO2 content,Investment cost,Lifetime,Discount rate,O&M fixed,O&M var,Availability,Must-run fraction,Ramp-up rate,Ramp-down rate
Wind,wind,0,150,0.47,0,0,1110000,27,0.04,16397,2,1,0,1,1
PV,solar,0,150,0.205,0,0,870000,35,0.04,10600,10,1,0,1,1
